step	agent_id	module_id	x	y	stress	is_isolated	active_event_ids
47	ISS03	common_area	45.92	53.94	62.6	false	
47	ISS04	common_area	52.05	49.96	51.4	false	
47	ISS05	common_area	47.58	47.82	53.5	false	
47	ISS06	common_area	50.39	54.45	42.5	false	
47	ISS07	common_area	53.49	45.53	54.2	false	
47	ISS08	common_area	47.98	50.32	56.4	false	REPB06
47	ISS09	common_area	52.7	51.82	45.2	false	REPB06
48	ISS00	common_area	48.0	50.43	66.7	false	
48	ISS01	crew_quarters	28.15	35.34	66.9	true	
48	ISS02	common_area	48.77	45.71	63.6	false	
48	ISS03	common_area	47.42	55.05	70.8	false	
48	ISS04	common_area	51.92	49.3	53.5	false	
48	ISS05	common_area	47.0	48.73	63.3	false	
48	ISS06	common_area	51.82	54.08	58.3	false	
48	ISS07	common_area	51.85	44.64	42.9	false	
48	ISS08	common_area	48.19	50.96	59.3	false	REPB06
48	ISS09	common_area	53.14	50.84	46.2	false	REPB06
49	ISS00	common_area	48.25	51.05	45.6	false	
49	ISS01	crew_quarters	28.34	34.84	63.9	true	
49	ISS02	common_area	47.44	46.34	53.8	false	
49	ISS03	common_area	49.21	55.62	61.0	false	
49	ISS04	common_area	51.59	48.71	49.7	false	
49	ISS05	common_area	46.75	49.77	48.3	false	
49	ISS06	common_area	53.04	53.26	47.1	false	
49	ISS07	common_area	50.0	44.33	38.7	false	
49	ISS08	common_area	48.6	51.5	52.8	false	REPB06
49	ISS09	common_area	53.25	49.77	40.3	false	REPB06
50	ISS00	common_area	48.68	51.57	41.0	false	
50	ISS01	crew_quarters	28.37	34.3	46.4	false	
50	ISS02	common_area	46.39	47.38	55.9	false	
50	ISS03	common_area	51.08	55.57	47.6	false	
50	ISS04	common_area	51.08	48.26	52.0	false	
50	ISS05	common_area	46.86	50.84	42.2	false	
50	ISS06	common_area	53.94	52.1	53.5	false	
50	ISS07	common_area	48.15	44.64	35.9	false	
50	ISS08	common_area	49.17	51.87	59.9	false	
50	ISS09	common_area	53.0	48.73	48.0	false	
51	ISS00	common_area	49.27	51.91	58.6	false	
51	ISS01	crew_quarters	28.21	33.79	43.9	false	
51	ISS02	common_area	45.73	48.69	55.9	false	
51	ISS03	common_area	52.84	54.91	51.0	false	
51	ISS04	common_area	50.46	48.01	47.7	false	
51	ISS05	common_area	47.3	51.82	54.0	false	
51	ISS06	common_area	54.41	50.7	47.8	false	
51	ISS07	common_area	46.51	45.53	44.6	false	
51	ISS08	common_area	49.82	52.04	56.6	false	
51	ISS09	common_area	52.42	47.82	46.6	false	
52	ISS00	common_area	49.93	52.04	42.9	false	
52	ISS01	crew_quarters	27.9	33.35	49.8	false	
52	ISS02	common_area	45.54	50.16	52.3	false	
52	ISS03	common_area	54.28	53.72	70.4	false	
52	ISS04	common_area	49.79	47.97	32.4	false	
52	ISS05	common_area	48.04	52.6	42.9	false	
52	ISS06	common_area	54.4	49.22	49.0	false	
52	ISS07	common_area	45.24	46.91	48.3	false	
52	ISS08	common_area	50.49	51.99	66.5	false	
